id,title,description,tries
83134,"PhotoFrame Smart Wi-Fi Plug, Remote Control","Simplify your home automation with this smart wi-fi plug, offering remote control and energy monitoring. Compatible with Alexa and Google Assistant, you can control appliances with voice commands. Set timers, create schedules, and track energy consumption via the app. Supports up to 10 amps and operates on a 2.4GHz wi-fi network.",2
8523,"ScrewMaster LED Lightbulbs, Eco-Friendly, 10-Pack","Reduce your carbon footprint and save on energy bills with this 10-pack of eco-friendly led lightbulbs. These bulbs provide bright, consistent light while consuming significantly less energy than traditional incandescent bulbs. Each bulb produces 800 lumens with a color temperature of 2700K (soft white). With a lifespan of up to 15,000 hours, these bulbs offer long-lasting performance.",2
24093,"Rechargeable Cordless Electric Screwdriver, Compact","Tackle everyday tasks with ease using this rechargeable cordless electric screwdriver, designed for compact power and portability. Its ergonomic design ensures comfortable handling, while the rechargeable battery provides extended runtime. This screwdriver is a versatile tool for any home or workshop.",2
61225,"Leather Office Desk Mat, XXL, Luxury Design","Elevate your workspace with this luxury leather office desk mat, designed for professionals who appreciate quality and style. The XXL size provides ample space for your keyboard, mouse, and other essentials. Crafted from premium leather, this desk mat adds a touch of sophistication to any office environment.",2
53736,"Noise-Canceling Headphones, Professional Quality","Immerse yourself in your work or music with these professional noise-canceling headphones, engineered to block out distractions. Ideal for work, travel, or any environment where focus is essential, these headphones deliver exceptional sound quality and comfort. Experience tranquility and enhanced productivity with these premium headphones.",2
15212,7-Inch Touch Screen Digital Photo Frame,"Showcase your cherished memories with this 7-inch touch screen digital photo frame, offering high-resolution image display. Navigate effortlessly through your photo collection with the intuitive touch screen interface. This frame brings your photos to life with clarity and vibrancy.",2
29289,9-in-1 Multi-Tool Pocket Knife for Outdoors,"Be prepared for any situation with this multi-tool pocket knife, featuring nine essential tools in one compact design. Includes a knife, bottle opener, screwdriver, and more, making it perfect for outdoor adventures and everyday tasks. This versatile tool is a must-have for any handyman or outdoor enthusiast.",2
97264,"OutdoorGlow Wooden Storage Shelves, Customizable","Maximize your storage space with these customizable wooden storage shelves, designed for versatility and style. These shelves can be configured to fit your specific needs, whether it's organizing your garage, pantry, or living room. Constructed from solid pine wood, these shelves offer durability and stability. Each shelf supports up to 25kg.",2
36806,"1.75mm PLA 3D Printer Filament, Various Colors","Achieve exceptional 3D printing results with this high-quality PLA filament, compatible with most 3D printers. Available in a wide array of 50 colors, this filament allows for creative expression and precise detailing. Experience consistent performance and vibrant color reproduction with every print.",2
14046,"Quiet Cooling Fan, Power Efficient, Sleek Design","Maintain a cool and comfortable environment with this mega cooling fan, engineered for quiet operation and energy efficiency. Its sleek design seamlessly integrates into any room, providing powerful airflow without disruptive noise. Enjoy a refreshing breeze all summer long.",2
73657,"ScrewMaster Construction Gloves, Heavy Duty, XXL","Protect your hands during tough jobs with these heavy duty construction gloves. Constructed from premium leather with reinforced stitching, these gloves offer superior durability and grip. The XXL size ensures a comfortable fit, while the breathable design minimizes sweat. Features include knuckle protection and abrasion resistance for long-lasting performance.",2
89508,"PhotoFrame HDMI Cables, Ultra-Premium, 6ft","Experience pristine video and audio quality with these ultra-premium hdmi cables. These 6ft cables support 4K resolution at 60Hz, ensuring crystal-clear visuals and immersive sound. Constructed with triple-layer shielding to minimize interference, these cables are ideal for gaming, home theaters, and professional setups. Gold-plated connectors provide optimal signal transfer.",2
72034,"PhotoFrame Power Saw, Industrial Grade, Heavy Duty","Achieve precise and powerful cuts with this industrial grade power saw, designed for demanding projects. Its high-torque motor ensures efficient performance, while the ergonomic handle provides comfortable control. Features include a durable blade guard, adjustable cutting depth up to 75mm, and a robust steel base for stability. Operates at 230V with a 15-amp motor.",2
51782,"Wireless Router, 5GHz, SuperFast Speeds","Experience lightning-fast internet speeds with this superfast wireless router, operating on the 5GHz band. Engineered for homes and small businesses, this router delivers up to 10x faster speeds than traditional routers. Enjoy seamless streaming, gaming, and browsing with enhanced connectivity.",2
12976,"Ergonomic Office Chair, Lumbar Support, Adjustable","Experience all-day comfort with this deluxe ergonomic office chair, designed to support productivity. Features premium cushioning, adjustable height, tilt, and lumbar support for optimal posture. This chair promotes a healthy and comfortable work environment.",2
73454,"GripGuard Folding Workbench, Adjustable Height","Create a versatile workspace anywhere with this adjustable height folding workbench. Its robust steel frame supports up to 150kg, while the adjustable height from 75cm to 95cm allows for customized comfort. The workbench folds flat for easy storage and transport. Features a durable MDF work surface and non-slip feet for added stability.",2
72288,"NetSpeed Bluetooth Speaker, Wireless, Portable Sound","Experience rich, immersive audio on the go with this wireless bluetooth speaker. Enjoy up to 12 hours of continuous playback on a single charge, perfect for outdoor adventures or indoor gatherings. Equipped with bluetooth 5.0 for stable connectivity, it delivers a frequency response of 80Hz-20kHz. The compact design and integrated carry loop enhance portability.",2
95612,"GripGuard Power Drill 2000, Ultimate","Tackle any drilling task with ease using this ultimate power drill, engineered for performance and durability. Its high-torque motor delivers exceptional power, while the variable speed control allows for precise operation. Features include a keyless chuck for quick bit changes, an ergonomic handle for comfortable grip, and a built-in led light for enhanced visibility. Operates on a 20V lithium-ion battery.",2
80802,"GripGuard Workstation, Compact All-In-One","Streamline your workspace with this compact all-in-one workstation, designed for efficiency and convenience. This workstation features a built-in monitor stand, keyboard tray, and ample storage space. Its sleek design complements any home or office decor. Dimensions are 120cm wide, 60cm deep, and 85cm high.",2
52863,"Waterproof LED String Lights, 25ft, Outdoor Use","Create a magical ambiance with these waterproof outdoor LED string lights, perfect for patios, garden parties, and outdoor events. These 25ft string lights add a warm and inviting glow to any setting. Designed for durability and weather resistance, these lights will illuminate your outdoor space for years to come.",2
